appraisal_d	t_stat	p_value
suddenness	0.4393458122368276	0.6604505702504897
familiarity	0.35233977858520005	0.7246144215989578
event	0.48418520236686097	0.6282986533983803
pleasantness	0.4398492438580179	0.6600859366958347
unpleasantness	0.05846152777834173	0.9533858774402624
relevance	0.49647577142374844	0.619604282933603
responsblt	0.06496122839225534	0.9482066742426012
conseq	0.44571110416394205	0.6558260527085105
support	0.45211434855189153	0.6512274995158759
urgency	1.1524369000739016	0.2492564553865132
control	1.008986025861898	0.31301525193785756
standards	0.5003763072928371	0.6168560497063404
norms	-0.06469839649494452	0.9484195322684743
attention	-0.01673536552075873	0.9866491257098863
consider	0.42956013395207165	0.6675542344903059
effort	0.1379318780141948	0.8903058366552048
