appraisal_d	t_stat	p_value
suddenness	-0.20875411530982274	0.8346579225972965
familiarity	0.0935190241895099	0.9254990493190481
event	0.7936897263443151	0.4274546108521502
pleasantness	-0.06001080809683096	0.9521520271290365
unpleasantness	-0.705159498452118	0.48077946893019063
relevance	0.24427305136416405	0.8070402508653286
responsblt	0.6341738364341544	0.5259875331409467
conseq	0.43304795036219573	0.664999400415949
support	0.24111087215189445	0.8094897995625334
urgency	0.39910756263587094	0.6898494884450882
control	0.1743363408412722	0.8616060435469514
standards	0.08279706751184461	0.9340198112835456
norms	-0.30377696768515755	0.7613241697877672
attention	0.014758074200584743	0.9882264155569682
consider	-0.054176675358651935	0.9567989166572618
effort	0.16521792956689335	0.8687863796733494
