appraisal_d	t_stat	p_value
suddenness	0.20589239545397417	0.8368924430081535
familiarity	-0.29786080871978504	0.7658352041058638
event	-0.048779152581725	0.9610993583915495
pleasantness	-1.328395156909855	0.1841740033951083
unpleasantness	-1.773430893949675	0.07628422866535292
relevance	-0.22201978734501576	0.8243173853084421
responsblt	0.2155266661941285	0.8293628304498566
conseq	0.12830120448853563	0.897915989131189
support	0.5516194770043615	0.5812604863547453
urgency	-0.22371161586795568	0.8230007630904801
control	-0.20916135389325993	0.8343281991200463
standards	-0.24701716828500486	0.8049160823144983
norms	-1.227271244222785	0.21984112775754489
attention	-0.1984593738194784	0.8427024905218963
consider	-0.1588939688957195	0.8737657926191538
effort	-0.04635666801490965	0.963029833261853
