appraisal_d	t_stat	p_value
suddenness	-0.5242360627738831	0.6001628119036662
familiarity	0.0	1.0
event	0.11667172058050683	0.9071299707902899
pleasantness	-0.11544032205579313	0.9081057856313395
unpleasantness	-0.24793163161116777	0.8042085328386052
relevance	0.0	1.0
responsblt	-0.599549472793929	0.5488254005172647
conseq	-0.27298622929356414	0.7848755495983188
support	0.8420888192209712	0.3998222118309527
urgency	-0.3029423509179509	0.7619600722428349
control	0.2591229233928838	0.7955478082227987
standards	-0.08473558069138312	0.9324786816762503
norms	-0.28060727434127014	0.779035842088756
attention	-0.35875264883659486	0.7198117199744993
consider	-0.09373937378673901	0.9253240232862114
effort	-0.5949160541903136	0.5519557155958923
