appraisal_d	t_stat	p_value
suddenness	-0.33130843580828134	0.7404404690146891
familiarity	-0.19661471703185227	0.8441457139090363
event	0.13225253019791403	0.8947956483255677
pleasantness	-1.3456290985388633	0.17854937651550715
unpleasantness	-1.2005017645504683	0.23006310340713604
relevance	0.4713579064339836	0.6374280491362436
responsblt	-0.9226667265615518	0.3562118363334369
conseq	0.08775653106959269	0.9300738498394147
support	0.43432383164447974	0.6640923759072311
urgency	-0.5492538259689332	0.582882411233665
control	0.6184770637449452	0.536280482356261
standards	-0.4681659115855677	0.6397084952078023
norms	-1.6775163773016626	0.09357186888359104
attention	0.009245273812146959	0.9926242128861735
consider	-0.401789741589285	0.6878745774471969
effort	-0.4706250323799471	0.6379513311998156
