appraisal_d	gt_mean	gt_var	pred_mean	pred_var	gt_answer	pred_rating_lst	sampled_rating_lst
suddenness	3.8	0.15999999999999998	2.0	1.6	[4, 4, 4, 3, 4]	0	[3, 4, 1, 1, 1]
familiarity	2.4	1.04	1.4	0.24	[2, 2, 3, 1, 4]	0	[1, 2, 2, 1, 1]
event	3.2	0.5599999999999999	3.8	2.1600000000000006	[3, 4, 4, 3, 2]	4	[1, 5, 4, 5, 4]
pleasantness	5.0	0.0	4.8	0.15999999999999998	[5, 5, 5, 5, 5]	4	[5, 5, 4, 5, 5]
unpleasantness	1.0	0.0	1.6	1.4400000000000002	[1, 1, 1, 1, 1]	0	[1, 1, 4, 1, 1]
relevance	3.2	1.3599999999999999	4.6	0.24000000000000005	[1, 4, 4, 3, 4]	4	[5, 5, 5, 4, 4]
responsblt	3.0	1.6	2.2	1.3599999999999999	[5, 1, 3, 3, 3]	0	[1, 3, 1, 2, 4]
responsblt	1.8	0.56	2.4	1.8400000000000003	[1, 1, 3, 2, 2]	0	[1, 4, 4, 2, 1]
responsblt	4.4	0.6399999999999999	4.2	1.3599999999999999	[5, 5, 3, 4, 5]	4	[4, 2, 5, 5, 5]
conseq	3.4	0.64	4.0	0.8	[4, 4, 4, 2, 3]	4	[3, 4, 5, 3, 5]
support	4.0	2.4	3.2	2.16	[5, 5, 5, 4, 1]	4	[1, 4, 4, 5, 2]
urgency	3.8	0.5599999999999999	4.0	1.6	[4, 3, 4, 3, 5]	4	[2, 5, 5, 3, 5]
control	3.2	0.15999999999999998	3.0	0.8	[3, 3, 4, 3, 3]	0	[2, 2, 4, 4, 3]
control	4.4	0.6399999999999999	4.2	1.3599999999999999	[5, 5, 3, 4, 5]	4	[2, 5, 5, 5, 4]
control	2.4	2.2399999999999998	2.4	1.0400000000000003	[5, 1, 3, 2, 1]	0	[2, 4, 1, 3, 2]
conseq	2.6	2.24	4.2	1.3599999999999999	[1, 5, 3, 3, 1]	4	[5, 2, 4, 5, 5]
standards	1.0	0.0	1.2	0.16	[1, 1, 1, 1, 1]	0	[1, 1, 2, 1, 1]
norms	1.0	0.0	1.2	0.16	[1, 1, 1, 1, 1]	0	[1, 1, 1, 2, 1]
attention	4.2	0.15999999999999998	4.2	0.5599999999999999	[5, 4, 4, 4, 4]	4	[4, 5, 5, 4, 3]
consider	1.0	0.0	1.6	0.24	[1, 1, 1, 1, 1]	0	[2, 2, 1, 2, 1]
effort	2.0	1.2	4.8	0.15999999999999998	[4, 1, 2, 2, 1]	4	[4, 5, 5, 5, 5]
suddenness	2.0	2.4	2.6	1.8400000000000003	[5, 1, 1, 1, 2]	3	[1, 4, 3, 4, 1]
familiarity	2.2	0.5599999999999999	2.4	1.8399999999999999	[1, 2, 3, 3, 2]	0	[1, 2, 4, 1, 4]
event	2.6	1.4400000000000002	1.4	0.6400000000000002	[1, 2, 4, 4, 2]	0	[3, 1, 1, 1, 1]
pleasantness	1.0	0.0	1.8	0.16	[1, 1, 1, 1, 1]	0	[2, 2, 2, 2, 1]
unpleasantness	5.0	0.0	4.4	0.24	[5, 5, 5, 5, 5]	4	[4, 4, 5, 4, 5]
relevance	3.0	1.2	3.8	0.5599999999999999	[3, 4, 3, 4, 1]	4	[4, 5, 3, 3, 4]
responsblt	4.4	0.24000000000000005	4.6	0.24	[5, 4, 4, 5, 4]	4	[5, 5, 4, 5, 4]
responsblt	1.0	0.0	1.6	0.64	[1, 1, 1, 1, 1]	0	[3, 1, 2, 1, 1]
responsblt	1.0	0.0	1.6	0.64	[1, 1, 1, 1, 1]	0	[3, 1, 1, 2, 1]
conseq	2.6	0.64	2.0	1.2	[3, 3, 3, 3, 1]	0	[1, 4, 2, 2, 1]
support	1.0	0.0	1.0	0.0	[1, 1, 1, 1, 1]	0	[1, 1, 1, 1, 1]
urgency	2.6	2.64	4.0	2.4	[5, 4, 1, 2, 1]	4	[4, 5, 1, 5, 5]
control	1.0	0.0	2.0	2.4	[1, 1, 1, 1, 1]	0	[2, 1, 5, 1, 1]
control	1.8	2.5600000000000005	2.2	1.3599999999999999	[1, 1, 1, 5, 1]	0	[1, 1, 3, 4, 2]
control	5.0	0.0	5.0	0.0	[5, 5, 5, 5, 5]	4	[5, 5, 5, 5, 5]
conseq	2.8	0.96	3.4	1.8400000000000003	[1, 3, 3, 4, 3]	0	[4, 4, 1, 3, 5]
standards	2.2	1.3599999999999999	2.0	2.4	[3, 1, 2, 4, 1]	3	[1, 1, 1, 2, 5]
norms	1.0	0.0	1.6	0.64	[1, 1, 1, 1, 1]	0	[1, 2, 1, 1, 3]
