appraisal_d	t_stat	p_value
suddenness	-0.30611189830429936	0.7595460218754176
familiarity	0.13115966089454748	0.8956600083842439
event	0.08645192416933456	0.9311143894921208
pleasantness	-1.307361927501937	0.1912151563193088
unpleasantness	-0.7341571246848183	0.46292475726209625
relevance	0.2719979746548172	0.7856469922237257
responsblt	-1.165122040420431	0.24400820624000796
conseq	0.15384653137472704	0.8777372139939694
support	0.04271814475205019	0.9659297717967716
urgency	-0.6064919684161241	0.544245523582338
control	0.659137632498264	0.5098284771486887
standards	-0.4270817164062887	0.6693581512981133
norms	-1.8888950851808102	0.05902645727871534
attention	0.09220440891135437	0.9265433369307101
consider	-0.517753612245896	0.6046779465219759
effort	-0.526375096257138	0.5986762949506328
